quote,author
"There are in the middle of the dark woodsan unexpected clearing,€that can only be found by those who have gone astray.€Tomas Tranströmer€",Astray
"Zen Poem by Yang Wangli Don?t read books! Don?t chant poems! When you read books your eyeballs wither away leaving the bare sockets. When you chant poems your heart leaks out slowly with each word. People say reading books is enjoyable. People say chanting poems is fun. But if your lips constantly make a sound like an insect chirping in autumn, you will only turn into a haggard old man. And even if you don?t turn into a haggard old man, it?s annoying for others to have to hear you. It?s so much better to close your eyes, sit in your study, lower the curtains, sweep the floor, burn incense. It?s beautiful to listen to the wind, listen to the rain, take a walk when you feel energetic, and when you?re tired go to sleep. zen poem yang wanli",Unknown
"?The bright side of the planet moves toward darkness And the cities are falling asleep, each in its hour, And for me, now as then, it is too much, There is too much world.?Czeslaw Milosz, The Separate Notebooksvia @dictionaryofobscuresorrows czeslaw milosz",Unknown
"When I am old - Jenny JosephWhen I am an old woman I shall wear purpleWith a red hat that doesn?t go, and doesn?t suit me,And I shall spend my pensionon brandy and summer glovesAnd satin sandals,and say we?ve no money for butter.I shall sit down on the pavement when I am tired,And gobble up samples in shops and press alarm bells,And run my stick along the public railings,And make up for the sobriety of my youth.I shall go out in my slippers in the rainAnd pick the flowers in other people?s gardens,And learn to spit.You can wear terrible shirts and grow more fat,And eat three pounds of sausages at a go,Or only bread and pickle for a week,And hoard pens and pencils and beer matsand things in boxes.But now we must have clothes that keep us dry,And pay our rent and not swear in the street,And set a good example for the children.We will have friends to dinner and read the papers.But maybe I ought to practise a little now?So people who know meare not too shocked and surprised,When suddenly I am oldand start to wear purple! jenny joseph",Unknown
"Your children are not your children.They are the sons and daughters of Life?s longing for itself.They come through you but not from you,And though they are with you yet they belong not to you.You may give them your love but not your thoughts,For they have their own thoughts.You may house their bodies but not their souls,For their souls dwell in the house of tomorrow,which you cannot visit, not even in your dreams.You may strive to be like them,but seek not to make them like you.For life goes not backward nor tarries with yesterday.Kahlil Gibran kahlil gibran",Unknown
"The moment of unconscious rapture is the moment of happiness ? TM Krishna (Full speech: <a href=""https://m.youtube.com/watch?v=_s6QL64QFi0"">https://m.youtube.com/watch?v=_s6QL64QFi 0</a>) tm krishna talk speech happiness",Unknown
"Happiness - Orhan Pamuk In fact no one recognizes the happiest moment of their lives as they are living it. It may well be that, in a moment of joy, one might sincerely believe that they are living that golden instant ?now,? even having lived such a moment before, but whatever they say, in one part of their hearts they still believe in the certainty of a happier moment to come. Because how could anyone, and particularly anyone who is still young, carry on with the belief that everything could only get worse: If a person is happy enough to think he has reached the happiest moment of his life, he will be hopeful enough to believe his future will be just as beautiful, more so. orhan pamuk",Unknown
"No matter what road I travel, I&rsquo;m going home.                    ? Shinso",Unknown
"The Red Violin by R I watch with envy the way she moves and sways, a lovers? dance with her antique violin. Deep brown. Sensual kisses. Passionate love. Deep sound from the kernel of her conflicts. I am angered. I feel betrayed. I feel dejected. I blame it on her restlessness. I weave stories about her lustful existence. But my accursed violin whispers a mocking laugh in my ear. It is no karma. It is the burden of my yearning and the fear of its fulfillment. It is sinking with the weight of my tears. It is dying by sipping the slow poison of my bloody tears. It is raging like the stormy red ocean of my heart. Perhaps it desires me too, my red violin.",Unknown
"Confessions - Leo Tolstoy During that time I began to write from vanity, covetousness, and pride. In my writings I did the same as in my life. To get fame and money, for the sake of which I wrote, it was necessary to hide the good and to display the evil. And I did so. How often in my writings I contrived to hide under the guise of indifference, or even of banter, those strivings of mine towards goodness which gave meaning to my life! And I succeeded in this and was praised. I was considered an admirable artist and poet, and therefore it was very natural for me to adopt this theory. I, artist and poet, wrote and taught without myself knowing what. For this I was paid money; I had excellent food, lodging, women, and society; and I had fame, which showed that what I taught was very good. This faith in the meaning of poetry and in the development of life was a religion, and I was one of its priests. To be its priest was very pleasant and profitable. And I lived a considerable time in this faith without doubting its validity. [[MORE]] Having begun to doubt the truth of the authors? creed itself, I also began to observe its priests more attentively, and I became convinced that almost all the priests of that religion, the writers, were immoral, and for the most part men of bad, worthless character, much inferior to those whom I had met in my former dissipated and military life; but they were self-confident and self-satisfied as only those can be who are quite holy or who do not know what holiness is. These people revolted me, I became revolting to myself, and I realized that that faith was a fraud. But strange to say, though I understood this fraud and renounced it, yet I did not renounce the rank these people gave me: the rank of artist, poet, and teacher. I naively imagined that I was a poet and artist and could teach everybody without myself knowing what I was teaching, and I acted accordingly. From my intimacy with these men I acquired a new vice: abnormally developed pride and an insane assurance that it was my vocation to teach men, without knowing what. We were all then convinced that it was necessary for us to speak, write, and print as quickly as possible and as much as possible, and that it was all wanted for the good of humanity. And thousands of us, contradicting and abusing one another, all printed and wrote ? teaching others. And without noticing that we knew nothing, and that to the simplest of life?s questions: What is good and what is evil? We did not know how to reply, we all talked at the same time, not listening to one another, sometimes seconding and praising one another in order to be seconded and praised in turn, sometimes getting angry with one another ? just as in a lunatic asylum. It was terribly strange, but is now quite comprehensible. Our real innermost concern was to get as much money and praise as possible. To gain that end we could do nothing except write books and papers. So we did that. But in order to do such useless work and to feel assured that we were very important people we required a theory justifying our activity. And so among us this theory was devised: ?All that exists is reasonable. All that exists develops. And it all develops by means of Culture. And Culture is measured by the circulation of books and newspapers. And we are paid money and are respected because we write books and newspapers, and therefore we are the most useful and the best of men.? This theory would have been all very well if we had been unanimous, but as every thought expressed by one of us was always met by a diametrically opposite thought expressed by another, we ought to have been driven to reflection. But we ignored this; people paid us money and those on our side praised us, so each of us considered himself justified. leo tolstoy",Unknown
"Conversation is only one example of the various arenas in which we routinely fail to connect; broadly, he?s considerate and unromantic, whereas I?m romantic and inconsiderate. Marriage is hard, even when no crises loom, and even when things basically work. What makes it hard are not only the various problems that arise but the lingering absence that is felt most strongly when they don?t. The very closeness of marriage makes every bit of distance palpable. Something is wrong, all the timeExcerpt from ?The problem of marital loneliness? by Agnes Callard Source: https://www.newyorker.com/culture/cultural-comment/the-problem-of-marital-lonelinessThe Problem of Marital Loneliness article the New Yorker marriage",Unknown
"We try and make every good experience repeatable, and then run away from the resulting boredomNaval Ravikant naval ravikant",Unknown
"Two Roads -Robert frost TWO roads diverged in a yellow wood,And sorry I could not travel both And be one traveler, long I stood And looked down one as far as I could To where it bent in the undergrowth; Then took the other, as just as fair,And having perhaps the better claim, Because it was grassy and wanted wear; Though as for that the passing there Had worn them really about the same,€And both that morning equally lay In leaves no step had trodden black. Oh, I kept the first for another day! Yet knowing how way leads on to way,I doubted if I should ever come back.€I shall be telling this with a sigh Somewhere ages and ages hence:Two roads diverged in a wood, and I?I took the one less traveled by,And that has made all the difference. robert frost",Unknown
"Grooks - Piet Hien Losing one gloveis certainly painful,but nothingcompared to the pain,of losing one,throwing away the other,and findingthe first one again.",Unknown
If I have to leave can I leave a bit of myself with you?                    ? Rituparno rituparno ghosh film memories in march,Ghosh
The secret of life is to die before you die and to find there is no death ? Eckhart Tolle,Unknown
Zohra Sehgal recites a beautiful poem by Faiz. Zohra sehgal urdu poetry faiz,Unknown
"Words by R A naked goddess spins in surrender. I trace black lines in the shadow of her movements. They grow and entangle on her body. A tree is the sole witness, it stays glued on a green wall. My finger traces the veins of your hand. Leaves tremble and fall. You say the goddess blessed you. I say the pond is still. In that precise moment, the goddess discovered the tenderness of shame. You kissed her hand while it drew radiating lines out of a circle. She was the reason I looked into your eyes. There is a deathlike beauty in your painting of a woman?s back and a tree growing on it. Your night was filled with nightmares that haunted my day. You look just like a vivid dream. writing musing",Unknown
The greatest enemy of knowledge is not ignorance; it is the illusion of knowledge                    ? Stephen Hawking stephen hawking,Unknown
barbara kingsolver,Unknown
"Piety is not what the lessons bring to people, it?s the mistake they bring to the lessons                    ? Jerome Bixby film man from earth",Unknown
What do dogs do on their day off? They can&rsquo;t just lay around because that&rsquo;s their job.                    ? George Carlin george carlin comedy,Unknown
"Caretake this moment. Immerse yourself in its particulars. Respond to this person, this challenge, this deed. Quit evasions. Stop giving yourself needless trouble. It is time to really live; to fully inhabit the situation you happen to be in now.- Epictetus",Epictetus
"The gods had condemned Sisyphus to ceaselessly rolling a rock to the top of a mountain, whence the stone would fall back of its own weight. They had thought with some reason that there is no more dreadful punishment than futile and hopeless labour albert camus",Albert Camus
"When I say ?spiritual,? it?s a complicated word that has some unpleasant associations. Still, there has to be a word for that soaring feeling that we experience when we contemplate 13 billion years of cosmic evolution and four and a half billion years of the story of life on this planet.? ann druyan",Ann Dryan
"Poem by Grey VildNow that you live inside my head like a god I never wantedLet?s build a ruins of the sky. Just to deface it.Just to see our image in stone, crumble.(Via @lifeinpoetry ) grey vild",Unknown
"It ain&rsquo;t what they call you, it&rsquo;s what you answer to                    ? WC Fields wc fields",Unknown
Writing and redemption - David Foster Wallace That was his whole thing. ?Are you normal?? ?Are you normal?? I think one of the true ways I?ve gotten smarter is that I?ve realized that there are ways other people are a lot smarter than me. My biggest asset as a writer is that I?m pretty much like everybody else. The parts of me that used to think I was different or smarter or whatever almost made me die. david foster wallace,Unknown
Rose - Rumi What was said to the rose that made it open Was said to me here in my chest. rumi,Unknown
walter benjamin,Unknown
"We were walking in the open gardens near a huge hotel. There was a golden blue in the western sky and the noise of the buses, cars went by. There were young plants full of promise, watered daily. They were still building, creating the gardens and a bird was hovering in the sky, fluttering its wings rapidly before it plunged to the earth; and in the east, there was the nearing of the full moon. What was beautiful was none of these things but the vast emptiness that seemed to hold the earth. What was beautiful was the poor man with his head down, carrying a small bottle of oil.                    ? J Krishnamurti j krishnamurti",Unknown
"Excerpt from Leo Tolstoy?s€?Confession? I understood that it was not possible to seek in rational knowledge for a reply to my question, and that the reply given by rational knowledge is a mere indication that a reply can only be obtained by a different statement of the question and only when the relation of the finite to the infinite is included in the question. And I understood that, however irrational and distorted might be the replies given by faith, they have this advantage, that they introduce into every answer a relation between the finite and the infinite, without which there can be no solution, In whatever way I stated the question, that relation appeared int he answer.In my reasoningsI constantly compared (not could I do otherwise) the finite with the finite, and the infinite with the infinite; but for that reason I reached the inevitable result: force is force, matter is matter, will is will, the infinite is the infinite, nothing is nothing ? and that was all that could result. It was like what happens in mathematics, when thinking to solve an equation we find we are working on an identity. The line of reasoning is correct, but results in the answer that ?a? equals ?a?, or ?x? equals ?x?, or ?o? equals ?o?. The same thing happened with my reasoning in relation to the question of the meaning of my life.€A contradiction arose from which there were two exits. Either that which I called reason was not so rational as I supposed, or that which seemed to me irrational was not so irrational as I supposed. And I began to verify the line of argument of my rational knowledge. Verifying the line of argument of rational knowledge I found it quite correct. The conclusion that life is nothing was inevitable; but I noticed a mistake. The mistake lay in this, that my reasoning was not in accord with the question I had put. The question was:€?Why should I live, that is to say, what real, permanent result will come out of my illusory transitory life ? what meaning has my finite existence in this infinite world?? And to reply to that question I had studied life.The solution of all the possible questions of life could evidently not satisfy me, for my question as it at first appeared, included a demand for an explanation of the finite in terms of the infinite and vice versa.€I asked: ?What is the meaning of my life, beyond time, cause, and space?? And I replied to quite another question: ?What is the meaning of my life within time, cause, and space?? With the result that, after long efforts of thought, the answer I reached was: 'None?. leo tolstoy confession",Unknown
"If you&rsquo;re lonely when you&rsquo;re alone, you&rsquo;re in bad company.                    ? Jean-Paul Sartre jean paul sartre",Unknown
"My last refuge, my books: simple pleasures, like finding wild onions by the side of a road, or requited love.                    ? Tracy Letts (Friom August - Osage County) play tracy letts",Unknown
"?Attention doesn?t need a reaction. We always look for attention as somebody watching or somebody laughing or somebody crying, but what I?ve learnt is that even when somebody is not laughing, they can think something is funny. Real power doesn?t have to go anywhere. It makes others come to you. Real power is quiet. Confidence is one of the biggest attention gatherers because confidence doesn?t demand anything from you. The world doesn?t exist in a story. There?s no beginning, middle and end. It just keeps going. It?s maybe the biggest con of stories that there?s some sort of happy ending. It?s a constant wave and we?re always fixing things. It?s messy and it?s complicated. You think you have one answer for it and you experience some things and you have another answer.?- Jon Chu (Excerpt from a podcast conversation between with Pete Buttigieg and Jon Chu)?The Deciding Decade with Pete Buttigieg: ?Crazy Rich Asians? director Jon Chu on diversity in storytelling and embracing cultural identity Jon chu podcast",Unknown
"Fear - Nelson Mandela Our greatest fear is not that we are inadequate, but that we are powerful beyond measure. It is our light, not our darkness, that frightens us. We ask ourselves, Who am I to be brilliant, gorgeous, handsome, talented and fabulous? Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won?t feel insecure around you. We were born to make manifest the glory of God within us. It is not just in some; it is in everyone. And, as we let our own light shine, we consciously give other people permission to do the same.As we are liberated from our fear, our presence automatically liberates others. nelson mandela",Unknown
"Excerpts from Life of Pi by Yann Martel ?When you?ve suffered a great deal in life, each additional pain is both unbearable and trifling.?€?Life is so beautiful that death has fallen in love with it, a jealous, possessive love that grabs at what it can. But life leaps over oblivion lightly, losing only a thing or two of no importance, and gloom is but the passing shadow of a cloud?? ?All living things contain a measure of madness that moves them in strange, sometimes inexplicable ways. This madness can be saving; it is part and parcel of the ability to adapt. Without it, no species would survive.?€?My greatest wish ? other than salvation ? was to have a book. A long book with a never-ending story. One I could read again and again, with new eyes and a fresh understanding each time.? ?Oncoming death is terrible enough, but worse still is oncoming death with time to spare, time in which all the happiness that was yours and all the happiness that might have been yours becomes clear to you. You see with utter lucidity all that you are losing.? life of pi excerpts book yann martel",Unknown
"The Walled Garden of Truth - Sanai ?The Situation: Humanity is asleep, concerned only with what is useless,living in a wrong world. Believing that one can excel this is only habit and usage, not religion. This ""religion? is inept? Do not prattle before the People of the Path, rather consume yourself. You have an inverted knowledge and religion if you are upside down in relation to Reality. Man is wrapping his net around himself. A lion (the man of the Way) bursts his cage asunder.",Unknown
theodore roethke,Unknown
"Death Alone - Pablo Neruda There are lone cemeteries,tombs full of soundless bones,the heart threading a tunnel,a dark, dark tunnel :€like a wreck we die to the very core,as if drowning at the heartor collapsing inwards from skin to soul.There are corpses,clammy slabs for feet,there is death in the bones,like a pure sound,a bark without its dog,out of certain bells, certain tombsswelling in this humidity like lament or rain.I see, when alone at times,coffins under sailsetting out with the pale dead, women in their dead braids,bakers as white as angels,thoughtful girls married to notaries,coffins ascending the vertical river of the dead,the wine-dark river to its source,with their sails swollen with the sound of death,filled with the silent noise of death.Death is drawn to soundlike a slipper without a foot, a suit without its wearer,comes to knock with a ring, stoneless and fingerless,comes to shout without a mouth, a tongue, without a throat.Nevertheless its footsteps soundand its clothes echo, hushed like a tree.I do not know, I am ignorant, I hardly seebut it seems to me that its song has the colour of wet violets,violets well used to the earth,since the face of death is green,and the gaze of death greenwith the etched moisture of a violet?s leafand its grave colour of exasperated winter.But death goes about the earth also, riding a broomlapping the ground in search of the dead -€death is in the broom,it is the tongue of death looking for the dead,the needle of death looking for the thread.Death lies in our beds :€in the lazy mattresses, the black blankets,lives a full stretch and then suddenly blows,blows sound unknown filling out the sheetsand there are beds sailing into a harbour€where death is waiting, dressed as an admiral.€ pablo neruda",Unknown
"It took many years of vomiting up all the filth I?d been taught about myself, and half-believed, before I was able to walk on the earth as though I had a right to be here. ? James Baldwin james baldwin",Unknown
"When we try to pick anything by itself , we find it hitched to everything else in the universeJohn Muir john muir",Unknown
There is always one moment in childhood when the door opens and lets the future in.                    ? Graham Greene graham greene,Unknown
Line from perks of being a wallflower We expect the love we think we deserve film,Unknown
"It is said that a visitor once came to the home of Nobel Prize?winning physicist Niels Bohr and, having noticed a horseshoe hung above the entrance, asked incredulously if the professor believed horseshoes brought good luck. ?No,? Bohr replied, ?but I am told that they bring luck even to those who do not believe in them.?(Source : https://www.laphamsquarterly.org/magic-shows/miscellany/niels-bohrs-lucky-horseshoe) niels bohr anecdote",Unknown
"On Inspiration - Tchaivkovsky Do not believe those who try to persuade you that composition is only a cold exercise of the intellect. The only music capable of moving and touching us is that which flows from the depths of a composer?s soul when he is stirred by inspiration. There is no doubt that even the greatest musical geniuses have sometimes worked without inspiration. This guest does not always respond to the first invitation. We must always work, and a self-respecting artist must not fold his hands on the pretext that he is not in the mood. If we wait for the mood, without endeavouring to meet it half-way, we easily become indolent and apathetic. We must be patient, and believe that inspiration will come to those who can master their disinclination. A few days ago I told you I was working every day without any real inspiration. Had I given way to my disinclination, undoubtedly I should have drifted into a long period of idleness. But my patience and faith did not fail me, and to-day I felt that inexplicable glow of inspiration of which I told you; thanks to which I know beforehand that whatever I write to-day will have power to make an impression, and to touch the hearts of those who hear it. I hope you will not think I am indulging in self-laudation, if I tell you that I very seldom suffer from this disinclination to work. I believe the reason for this is that I am naturally patient. I have learnt to master myself, and I am glad I have not followed in the steps of some of my Russian colleagues, who have no self-confidence and are so impatient that at the least difficulty they are ready to throw up the sponge. This is why, in spite of great gifts, they accomplish so little, and that in an amateur way. letters tchaikovsky",Unknown
"The paradox of carved sculpture is that form and matter are in conflict: the more there is of one, the less there is of the other. Meaning comes only through a process of reduction, through a stripping away of matter until all that is left is pure spirit.And it was a form of magic, tapping into that current of wonder that lies behind all art and whose ultimate source can be traced back to the shamanistic rites of our stone age ancestors. The primitive notion that a depiction bears some deep connection to the thing depicted.Miles Unger in Michelangelo miles unger michelangelo sculpture art artmaking",Unknown
"Listen to presences inside poems, Let them take you where they will. Follow those private hints, and never leave the premises. rumi sufi",Unknown
"Excerpt from€?The Hours? ?We throw our parties; we abandon our families to live alone in Canada; we struggle to write books that do not change the world, despite our gifts and our unstinting efforts, our most extravagant hopes. We live our lives, do whatever we do, and then we sleep. It?s as simple and ordinary as that. A few jump out windows, or drown themselves, or take pills; more die by accident; and most of us are slowly devoured by some disease, or, if we?re very fortunate, by time itself. There?s just this for consolation: an hour here or there when our lives seem, against all odds and expectations, to burst open and give us everything we?ve ever imagined, though everyone but children (and perhaps even they) know these hours will inevitably be followed by others, far darker and more difficult. Still, we cherish the city, the morning; we hope, more than anything, for more. Heaven only knows why we love it so?? ? Michael Cunningham, The Hours micheal cunningham the hours",Unknown
"So long as we take for granted all the dreams we have realized, we?ll always be in fruitless pursuit of the ones we can never make realPico Iyer pico iyer",Unknown
"Then he slept, and with the warmth and humour of his eyes extinguished, his features relapsed into a taciturn mask, ironical, brutal, and cold.                    ? Ian Fleming (excerpt from Casino Royale) casino royale james bond ian fleming",Unknown
"In India I found a race of mortals living upon the Earth, but not adhering to it. Inhabiting cities, but not being fixed to them, possessing everything but possessed by nothing ? Apollonius Tyanaeus (greek traveller 1st century CE)<br/>",Unknown
"Excerpt from Meredith and Sami's Blog Ocean is boring if you look for the pink unicorn - so is life We start most of our days by asking each other: do you think today we?ll see the whale(s) jumping!? It could be today, it?s looking a bit (sunny/rainy/windy/clear/gray?). The truth is, 34 days offshore, and we?ve seen next to nothing special. The same day in, day out, no dolphins, no groups of whales or great whites circling around the boat. Only one flock of cool flying fish speeding by us (and a few on deck each night/morning). I honestly expected more spectacles, big stuff, killer whale eating a great white. I did. Yet?.every moment is so special and unique. Ocean changes every second, new waves, new clouds (we?ve seen most animal figures by now, giraffe included), cooling storms with a rain (this am!), a little ocean turtle, scary mr flusher waves, stunning colors, sunsets, silence, wind and freedom. It?s funny how so many of our experiences and observations come back to everyday life at home. It?s up to me (and you) to chase the pink unicorn and fly by every day without noticing anything, or find excitement from every moment and experience, all of which are unique and priceless in some way. ? Meredith and Sami?s Blog €(http://www.fatchancerow.org/blog/) blog meredith loring sami inkinen",Unknown
The universe is not only queerer than we imagine ? it is queerer than we can imagine.                    ? JBS Haldane jbs haldane,Unknown
"Quote - Robert Louis Stevenson The world is so full of a number of things, I ?m sure we should all be as happy as kings. robert louis stevenson",Unknown
"Where everything is music - Rumi Don?t worry about saving these songs! And if one of our instruments breaks, it doesn?t matter. We have fallen into the place where everything is music. The strumming and the flute notes rise into the atmosphere, and even if the whole world?s harp should burn up, there will still be hidden instruments playing. So the candle flickers and goes out. We have a piece of flint, and a spark. This singing art is sea foam. The graceful movements come from a pearl somewhere on the ocean floor. Poems reach up like spindrift and the edge of driftwood along the beach, wanting! They derive from a slow and powerful root that we can?t see. Stop the words now. Open the window in the centre of your chest, and let the spirits fly in and out.",Unknown
Source: Afroui poster,Unknown
If we give up our mortality we also lose our humanity                    ? Joel joel kinnaman,Kinnaman
"Excerpt from Oscar Wilde?s ?A sphinx without a secret??One day I went to Cumnor Street. I could not help it; I was tortured with doubt. I knocked at the door, and a respectable-looking woman opened it to me. I asked her if she had any rooms to let. ?Well, sir,? she replied, ?the drawing-rooms are supposed to be let; but I have not seen the lady for three months, and as rent is owing on them, you can have them.? - ?Is this the lady?? I said, showing the photograph. ?That?s her, sure enough,? she exclaimed; ?and when is she coming back, sir?? - ?The lady is dead,? I replied. ?Oh, sir, I hope not!? said the woman; ?she was my best lodger. She paid me three guineas a week merely to sit in my drawing-rooms now and then.? - ?She met some one here?? I said; but the woman assured me that it was not so, that she always came alone, and saw no one. ?What on earth did she do here?? I cried. ?She simply sat in the drawing-room, sir, reading books, and sometimes had tea,? the woman answered. I did not know what to say, so I gave her a sovereign and went away. Now, what do you think it all meant? You don?t believe the woman was telling the truth??'Then why did Lady Alroy go there??'My dear Gerald,? I answered, 'Lady Alroy was simply a woman with a mania for mystery. She took these rooms for the pleasure of going there with her veil down, and imagining she was a heroine. She had a passion for secrecy, but she herself was merely a Sphinx without a secret.? oscar wilde short story",Unknown
"Every journey into the past is complicated by delusions, false memories, false namings of real events",Adrienne Rich
"What is it like? ?Cold, Mostly. During the day, the sky is more black than blue. There?s not enough air to reflect the sunlight. But at night, you?ve never seen so many stars. It seems like they?re just out of reach, and so bright. They?re like little holes in the floor of heaven.?Did you hear it??Hear what??I read an account of a man who made it to the summit, and standing there at the top of the world, he experienced this profound silence. It was like all sound just fell away, and that?s when he heard it. ?What??The sound of the mountain. He said it was like he heard the voice of God. Dialogue from the film ?The Bucket List? film bucket list morgan freeman",Unknown
"Jack Kerouac on the Golden Eternity I have lots of things to teach you now, in case we ever meet, concerning the message that was transmitted to me under a pine tree in North Carolina on a cold winter moonlit night. It said that Nothing Ever Happened, so don?t worry. It?s all like a dream. Everything is ecstasy, inside. We just don?t know it because of our thinking-minds. But in our true blissful essence of mind is known that everything is alright forever and forever and forever. Close your eyes, let your hands and nerve-ends drop, stop breathing for 3 seconds, listen to the silence inside the illusion of the world, and you will remember the lesson you forgot, which was taught in immense milky way soft cloud innumerable worlds long ago and not even at all. It is all one vast awakened thing. I call it the golden eternity. It is perfect. We were never really born, we will never really die. It has nothing to do with the imaginary idea of a personal self, other selves, many selves everywhere: Self is only an idea, a mortal idea. That which passes into everything is one thing. It?s a dream already ended. There?s nothing to be afraid of and nothing to be glad about. I know this from staring at mountains months on end. They never show any expression, they are like empty space. Do you think the emptiness of space will ever crumble away? Mountains will crumble, but the emptiness of space, which is the one universal essence of mind, the vast awakenerhood, empty and awake, will never crumble away because it was never born. jack kerouac",Unknown
victoria erickson,Unknown
"Ozymandias - Shelly I met a traveller from an antique landWho said: `Two vast and trunkless legs of stoneStand in the desert. Near them, on the sand,Half sunk, a shattered visage lies, whose frown,And wrinkled lip, and sneer of cold command,Tell that its sculptor well those passions readWhich yet survive, stamped on these lifeless things,The hand that mocked them and the heart that fed.And on the pedestal these words appear ??My name is Ozymandias, king of kings:Look on my works, ye Mighty, and despair!?Nothing beside remains. Round the decayOf that colossal wreck, boundless and bareThe lone and level sands stretch far away.?€ percy bysshe shelley",Unknown
"This place is a dream. Only a sleeper considers it real. Then death comes like dawn, and you wake up laughing at what you thought was your grief                    ? Rumi rumi",Unknown
"Write the book you want to read, the one you cannot find.                    ? Carol carol shields",Shields
Solitude can only be as good as the compassion it releasesPico Iyer pico iyer,Unknown
"The Peace of Wild Things When despair for the world grows in meand I wake in the night at the least soundin fear of what my life and my children?s lives may be,I go and lie down where the wood drakerests in his beauty on the water, and the great heron feeds.I come into the peace of wild things€who do not tax their lives with forethoughtof grief. I come into the presence of still water.And I feel above me the day-blind starswaiting with their light. For a timeI rest in the grace of the world, and am free. ? Wendell Berry",Unknown
"Life and Death - John Updike Not only are selves conditional but they die. Each day, we wake slightly altered, and the person we were yesterday is dead. So why, one could say, be afraid of death, when death comes all the time? It is even possible to dislike our old selves, those disposable ancestors of ours. For instance, my high-school self ? skinny, scabby, giggly, gabby, frantic to be noticed, tormented enough to be a tormentor, relentlessly pushing his cartoons and posters and noisy jokes and pseudo-sophisticated poems upon the helpless high school ? strikes me now as considerably obnoxious, though I owe him a lot: without his frantic ambition and insecurity I would not be sitting on (as my present home was named by others) Haven Hill. For many men, work is the effective religion, a ritual occupation and inflexible orientation which permits them to imagine that the problem of their personal death has been solved. Unamuno: ?Work is the only practical consolation for having been born.? My own chosen career ? its dispersal and multiplication of the self through publication, its daily excretion of yet more words, the eventual reifying of those words into books ? certainly is a practical consolation, a kind of bicycle which, if I were ever to stop pedaling, would dump me flat on my side. Religion enables us to ignore nothingness and get on with the jobs of life. Is it not the singularity of life that terrifies us? Is not the decisive difference between comedy and tragedy that tragedy denies us another chance? Shakespeare over and over demonstrates life?s singularity ? the irrevocability of our decisions, hasty and even mad though they be. How solemn and huge and deeply pathetic our life does loom in its once-and doneness, how inexorably linear, even though our rotating, revolving planet offers us the cycles of the day and of the year to suggest that existence is intrinsically cyclical, a playful spin, and that there will always be, tomorrow morning or the next, another chance. Writing ? is an addiction, an illusory release, a presumptuous taming of reality, a way of expressing lightly the unbearable. That we age and leave behind this litter of dead, unrecoverable selves is both unbearable and the commonest thing in the world ? it happens to everybody. In the morning light one can write breezily, without the slight acceleration of one?s pulse, about what one cannot contemplate in the dark without turning in panic to God. In the dark one truly feels that immense sliding, that turning of the vast earth into darkness and eternal cold, taking with it all the furniture and scenery, and the bright distractions and warm touches, of our lives. Even the barest earthly facts are unbearably heavy, weighted as they are with our personal death. Writing, in making the world light ? in codifying, distorting, prettifying, verbalizing it ? approaches blasphemy. john updike",Unknown
?It is a sign of great inner insecurity to be hostile to the unfamiliar?Anaïs Nin anais nin,Unknown
I have to find my own way and my own language                    ? Francis tv show chef's table chef,Mallman
"Excerpt from Andre Aciman?s ?Call me by your name? We rip out so much of ourselves to be cured of things faster than we should that we go bankrupt by the age of thirty and have less to offer each time we start with someone new. But to feel nothing so as not to feel anything - what a waste! I stopped for a second. If you remember everything, I wanted to say, and if you are really like me, then before you leave tomorrow, or when you?re just ready to shut the door of the taxi and have already said goodbye to everyone else and there?s not a thing left to say in this life, then, just this once, turn to me, even in jest, or as an afterthought, which would have meant everything to me when we were together, and, as you did back then, look me in the face, hold my gaze, and call me by your name andre aciman",Unknown
"We tell people to follow their dreams, but you can only dream of what you can imagine, and, depending on where you come from, your imagination can be quite limited ? Trevor Noah (Born a Crime) trevor noah",Unknown
"Song to Myself - Walt Whitman Stop this day and night with me and you shall possess the origin of all poems, You shall possess the good of the earth and sun, (there are millions of suns left,) You shall no longer take things at second or third hand, nor look through the eyes of the dead, nor feed on the spectres in books, You shall not look through my eyes either, nor take things from me, You shall listen to all sides and filter them from your self. walt whitman",Unknown
jean baudrillard,Unknown
"Excerpt from the Ninth Thesis on the Philosophy of History A Klee drawing named ?Angelus Novus? shows an angel looking as though he is about to move away from something he is fixedly contemplating.€€His eyes are staring, his mouth is open, his wings are spread.€€This is how one pictures the angel of history.€€His face is turned toward the past.€€Where we perceive a chain of events, he sees one single catastrophe that keeps piling ruin upon ruin and hurls it in front of his feet.€€The angel would like to stay, awaken the dead, and make whole what has been smashed.€€But a storm is blowing from Paradise; it has got caught in his wings with such violence that the angel can no longer close them.€€The storm irresistibly propels him into the future to which his back is turned, while the pile of debris before him grows skyward. This storm is what we call progress.€€ € €€ walter benjamin",Unknown
"A Strange Feather - Hafiz Allthe craziness,All the empty plots,All the ghosts and fears, All the grudges and sorrows haveNowPassed. I must have inhaledA strangeFeather That finally Out. hafiz sufi",Fell
So strange this life?Just a dream of a dream.(Dialogue from the tv series ?Shogun?) shogun tv series,Unknown
Old age is a case of mind over matter. If you don?t mind it won?t matter€,Mark Twain
